出发地	目的地	价格	路程时间
北京	上海	880	140
北京	广州	9180	195
北京	深圳	1025	210
北京	成都	1140	170
北京	杭州	320	145
北京	武汉	547	140
北京	西安	277	130
北京	重庆	990	190
北京	青岛	301	90
北京	长沙	780	170
北京	南京	538	125
北京	厦门	930	190
北京	昆明	598	235
北京	大连	187	95
北京	郑州	320	115
重庆	北京	900	170
重庆	上海	1034	130
重庆	广州	734	125
重庆	深圳	970	135
重庆	杭州	690	135
重庆	武汉	632	95
重庆	西安	548	95
重庆	青岛	557	145
重庆	长沙	504	85
重庆	南京	620	125
重庆	厦门	900	140
重庆	昆明	660	95
重庆	大连	720	255
重庆	天津	940	150
重庆	郑州	610	110
重庆	三亚	500	150
重庆	济南	710	120
重庆	福州	609	245
青岛	北京	301	90
青岛	上海	1100	110
青岛	广州	1020	200
青岛	深圳	1130	205
青岛	成都	740	190
青岛	杭州	690	100
青岛	武汉	650	140
青岛	西安	287	135
青岛	重庆	533	175
青岛	长沙	710	155
青岛	南京	640	85
青岛	厦门	730	255
青岛	昆明	760	230
青岛	大连	490	55
青岛	郑州	320	115
青岛	三亚	900	370
青岛	福州	660	135
长沙	北京	940	140
长沙	上海	550	115
长沙	广州	390	90
长沙	深圳	4050	110
长沙	成都	610	120
长沙	杭州	610	85
长沙	西安	420	110
长沙	重庆	582	95
长沙	青岛	800	150
长沙	南京	300	90
长沙	厦门	350	85
长沙	昆明	635	120
长沙	大连	550	250
长沙	天津	490	150
长沙	三亚	6030	145
长沙	济南	560	115
长沙	福州	540	95
南京	北京	1167	115
南京	广州	960	135
南京	深圳	970	150
南京	成都	1820	195
南京	西安	199	125
南京	重庆	260	165
南京	青岛	590	80
南京	长沙	250	115
南京	厦门	510	105
南京	昆明	360	195
南京	大连	570	95
南京	三亚	850	190
南京	福州	450	85
厦门	北京	1510	175
厦门	上海	1100	115
厦门	广州	550	100
厦门	成都	680	180
厦门	杭州	690	105
厦门	武汉	410	120
厦门	西安	460	185
厦门	重庆	640	185
厦门	青岛	850	145
厦门	长沙	680	100
厦门	南京	568	105
厦门	昆明	630	190
厦门	大连	1020	175
厦门	天津	1150	165
厦门	郑州	300	160
厦门	三亚	950	145
厦门	济南	840	160
昆明	北京	1010	230
昆明	上海	1239	175
昆明	广州	770	115
昆明	深圳	520	130
昆明	成都	380	95
昆明	杭州	788	155
昆明	武汉	660	135
昆明	西安	470	135
昆明	重庆	420	90
昆明	青岛	1120	315
昆明	长沙	600	120
昆明	南京	714	285
昆明	厦门	840	150
昆明	大连	1420	360
昆明	天津	960	325
昆明	郑州	700	160
昆明	三亚	600	120
昆明	济南	859	170
昆明	福州	880	155
大连	北京	360	105
大连	上海	380	120
大连	广州	690	315
大连	深圳	1120	325
大连	成都	737	220
大连	杭州	600	125
大连	武汉	520	150
大连	西安	900	165
大连	重庆	1160	195
大连	青岛	490	65
大连	长沙	900	295
大连	南京	420	105
大连	厦门	790	300
大连	昆明	1145	315
大连	天津	430	80
大连	郑州	316	140
大连	三亚	1200	375
大连	济南	400	70
大连	福州	840	165
天津	上海	440	135
天津	广州	500	190
天津	深圳	1300	200
天津	成都	1310	175
天津	杭州	810	120
天津	武汉	400	125
天津	西安	730	125
天津	重庆	790	175
天津	长沙	420	155
天津	厦门	700	160
天津	昆明	770	220
天津	大连	288	65
天津	三亚	998	240
天津	福州	700	150
郑州	北京	570	105
郑州	上海	509	110
郑州	广州	490	145
郑州	深圳	1160	150
郑州	成都	440	145
郑州	杭州	400	110
郑州	重庆	3200	120
郑州	青岛	480	100
郑州	厦门	440	145
郑州	昆明	600	175
郑州	大连	540	120
郑州	三亚	1220	200
郑州	福州	690	125
三亚	北京	1700	235
三亚	上海	1594	190
三亚	广州	940	85
三亚	深圳	908	90
三亚	成都	937	170
三亚	杭州	10310	160
三亚	武汉	1270	145
三亚	西安	1135	180
三亚	重庆	890	145
三亚	青岛	1560	385
三亚	长沙	1220	125
三亚	南京	9800	180
三亚	厦门	1090	125
三亚	昆明	690	145
三亚	大连	2980	255
三亚	天津	1614	255
三亚	郑州	1323	175
三亚	济南	1530	205
三亚	福州	1240	145
济南	上海	580	100
济南	广州	920	170
济南	深圳	818	180
济南	成都	1130	155
济南	杭州	480	100
济南	武汉	610	105
济南	西安	360	120
济南	重庆	498	165
济南	长沙	450	130
济南	厦门	840	150
济南	昆明	700	260
济南	大连	500	65
济南	三亚	770	210
济南	福州	790	130
福州	北京	2940	180
福州	上海	250	95
福州	广州	1280	115
福州	深圳	1700	100
福州	成都	920	185
福州	武汉	570	110
福州	西安	550	180
福州	重庆	530	165
福州	青岛	960	130
福州	长沙	500	100
福州	南京	610	85
福州	昆明	748	190
福州	大连	450	245
福州	天津	980	155
福州	郑州	520	145
福州	三亚	760	165
福州	济南	1040	135
end
